"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0022407","regulation of cell-cell adhesion","55/449","402/18670",5.65521842423779e-26,1.89449817211966e-23,1.51148565156901e-23,"PLA2G2D/RUNX3/LCK/IL23R/PTPN22/TNFAIP8L2/PTPRC/LAX1/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/TIGIT/CD86/CXCL13/IL7R/ADTRP/RIPOR2/TNF/MYB/CARD11/DOCK8/CCL19/AKNA/CD6/CD5/CCDC88B/CD3E/CD27/LAG3/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/GRAP2/FOXP3/SASH3/CD40LG",55
"BP","GO:0002696","positive regulation of leukocyte activation","52/449","380/18670",1.35713480868788e-24,4.1675348083457e-22,3.3249802812853e-22,"RUNX3/LCK/IL23R/CD2/FCRL3/PTPRC/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/CCR2/BTLA/CD86/TLR6/STAP1/IL7R/MYB/CARD11/TOX/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/MIR142/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/IGLL5/GRAP2/FOXP3/BTK/SASH3/CD40LG",52
"BP","GO:0070661","leukocyte proliferation","46/449","298/18670",4.41157786001946e-24,1.25051264724398e-21,9.97695300650556e-22,"PLA2G2D/IL23R/PTPN22/FCRL3/PTPRC/CR2/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/IL7R/GAPT/CD180/DOCK2/LST1/CARD11/DOCK8/CCL19/TNFSF8/PTH/MS4A1/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/TNFSF11/CD19/CORO1A/TNFRSF13B/IKZF3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/CD79A/LILRB1/RAC2/FOXP3/BTK/SASH3/CD40LG",46
"BP","GO:0046651","lymphocyte proliferation","44/449","272/18670",6.37986222180604e-24,1.67927087766823e-21,1.33977106657927e-21,"PLA2G2D/IL23R/PTPN22/FCRL3/PTPRC/CR2/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/IL7R/GAPT/CD180/DOCK2/LST1/CARD11/DOCK8/CCL19/TNFSF8/MS4A1/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/CD19/CORO1A/TNFRSF13B/IKZF3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/CD79A/LILRB1/RAC2/FOXP3/BTK/SASH3/CD40LG",44
"BP","GO:0050867","positive regulation of cell activation","52/449","394/18670",7.55714206085813e-24,1.85653789961748e-21,1.48119984392819e-21,"RUNX3/LCK/IL23R/CD2/FCRL3/PTPRC/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/CCR2/BTLA/CD86/TLR6/STAP1/IL7R/MYB/CARD11/TOX/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/MIR142/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/IGLL5/GRAP2/FOXP3/BTK/SASH3/CD40LG",52
"BP","GO:0032943","mononuclear cell proliferation","44/449","274/18670",8.67600351828195e-24,1.99819206030431e-21,1.59421564648431e-21,"PLA2G2D/IL23R/PTPN22/FCRL3/PTPRC/CR2/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/IL7R/GAPT/CD180/DOCK2/LST1/CARD11/DOCK8/CCL19/TNFSF8/MS4A1/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/CD19/CORO1A/TNFRSF13B/IKZF3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/CD79A/LILRB1/RAC2/FOXP3/BTK/SASH3/CD40LG",44
"BP","GO:0051251","positive regulation of lymphocyte activation","48/449","334/18670",1.06458666090474e-23,2.30764814437292e-21,1.84110869591761e-21,"RUNX3/LCK/IL23R/FCRL3/PTPRC/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/CCR2/BTLA/CD86/IL7R/MYB/CARD11/TOX/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/IGLL5/GRAP2/FOXP3/BTK/SASH3/CD40LG",48
"BP","GO:0050851","antigen receptor-mediated signaling pathway","45/449","316/18670",4.18651445585267e-22,8.57072542767616e-20,6.83797361122603e-20,"PIK3CD/LCK/PTPN22/FCRL3/CD247/PTPRC/LAX1/ZAP70/CD28/CTLA4/INPP5D/TRAT1/KLHL6/TXK/STAP1/FYB1/ITK/LCP2/BTN1A1/THEMIS/CARD11/LAT2/BLK/PAX5/MS4A1/CD3E/CD3D/CD3G/PTPN6/NCKAP1L/TESPA1/PRKCB/CD19/PLCG2/CCR7/CD79B/CD79A/KCNN4/SLA2/UBASH3A/IGLL5/GRAP2/WAS/FOXP3/BTK",45
"BP","GO:0042113","B cell activation","44/449","310/18670",1.41746346913561e-21,2.74913309671828e-19,2.19333821013616e-19,"PIK3CD/FCRL3/FCRL1/PTPRC/LAX1/CR2/ZAP70/ITGA4/CASP8/CD28/CTLA4/DOCK10/INPP5D/IL7R/GAPT/CD180/CCR6/CARD11/LAT2/PTK2B/MS4A1/CXCR5/CD27/PTPN6/AICDA/NCKAP1L/BATF/PRKCB/CD19/PLCG2/TNFRSF13B/IKZF3/CD79B/C17orf99/CD70/JAK3/CD79A/POU2F2/SLA2/IGLL5/FOXP3/BTK/SASH3/CD40LG",44
"BP","GO:1902105","regulation of leukocyte differentiation","41/449","272/18670",3.64316827719626e-21,6.7125375507341e-19,5.35545736747849e-19,"RUNX3/IL23R/CD2/FCRL3/PTPRC/CR1/ZAP70/CASP8/CD28/CTLA4/GPR55/INPP5D/FANCD2/CCR2/CD86/IL7R/CARTPT/CAMK4/IRF4/TNF/HLA-DOA/MYB/CARD11/TOX/CCL19/CD27/LAG3/PTPN6/NCKAP1L/TESPA1/TNFSF11/POU4F1/RASGRP1/EVI2B/IKZF3/JAK3/IL12RB1/LILRB1/FOXP3/BTK/SASH3",41
"BP","GO:0045619","regulation of lymphocyte differentiation","33/449","169/18670",7.88796561763146e-21,1.38415015718914e-18,1.1043151864684e-18,"RUNX3/IL23R/CD2/FCRL3/PTPRC/CR1/ZAP70/CD28/CTLA4/INPP5D/FANCD2/CCR2/CD86/IL7R/CAMK4/IRF4/HLA-DOA/MYB/CARD11/TOX/CCL19/CD27/LAG3/PTPN6/NCKAP1L/TESPA1/RASGRP1/IKZF3/JAK3/IL12RB1/FOXP3/BTK/SASH3",33
"BP","GO:0002429","immune response-activating cell surface receptor signaling pathway","52/449","473/18670",3.412806491324e-20,5.46790953066475e-18,4.36245699325763e-18,"PIK3CD/LCK/PTPN22/FCRL3/CD247/PTPRC/LAX1/CR2/CR1/ZAP70/CD28/CTLA4/INPP5D/TRAT1/KLHL6/TXK/STAP1/FYB1/ITK/LCP2/BTN1A1/NCR3/THEMIS/CARD11/MYO1G/LAT2/BLK/PAX5/MS4A1/CD3E/CD3D/CD3G/PTPN6/KLRC4-KLRK1/NCKAP1L/TESPA1/PRKCB/CD19/PLCG2/CCR7/CD79B/VAV1/ICAM3/CD79A/KCNN4/SLA2/UBASH3A/IGLL5/GRAP2/WAS/FOXP3/BTK",52
"BP","GO:0002757","immune response-activating signal transduction","52/449","473/18670",3.412806491324e-20,5.46790953066475e-18,4.36245699325763e-18,"PIK3CD/LCK/PTPN22/FCRL3/CD247/PTPRC/LAX1/CR2/CR1/ZAP70/CD28/CTLA4/INPP5D/TRAT1/KLHL6/TXK/STAP1/FYB1/ITK/LCP2/BTN1A1/NCR3/THEMIS/CARD11/MYO1G/LAT2/BLK/PAX5/MS4A1/CD3E/CD3D/CD3G/PTPN6/KLRC4-KLRK1/NCKAP1L/TESPA1/PRKCB/CD19/PLCG2/CCR7/CD79B/VAV1/ICAM3/CD79A/KCNN4/SLA2/UBASH3A/IGLL5/GRAP2/WAS/FOXP3/BTK",52
"BP","GO:0045785","positive regulation of cell adhesion","48/449","403/18670",3.71181488130191e-20,5.6991824323323e-18,4.54697322959484e-18,"RUNX3/LCK/IL23R/PTPRC/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/CD86/CXCL13/IL7R/TNF/MYB/CARD11/PTK2B/DOCK8/CCL19/APBB1IP/CD6/CD5/CCDC88B/CD3E/CD27/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/GRAP2/FOXP3/SASH3/CD40LG",48
"BP","GO:0050670","regulation of lymphocyte proliferation","35/449","208/18670",8.25609877265192e-20,1.21694895908889e-17,9.70917215663866e-18,"PLA2G2D/IL23R/PTPN22/FCRL3/PTPRC/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/LST1/CARD11/CCL19/TNFSF8/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/CORO1A/TNFRSF13B/IKZF3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/LILRB1/RAC2/FOXP3/BTK/SASH3/CD40LG",35
"BP","GO:0070663","regulation of leukocyte proliferation","36/449","222/18670",8.6230838109863e-20,1.22215630167248e-17,9.75071784780758e-18,"PLA2G2D/IL23R/PTPN22/FCRL3/PTPRC/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/LST1/CARD11/CCL19/TNFSF8/PTH/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/CORO1A/TNFRSF13B/IKZF3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/LILRB1/RAC2/FOXP3/BTK/SASH3/CD40LG",36
"BP","GO:0032944","regulation of mononuclear cell proliferation","35/449","209/18670",9.7013811842673e-20,1.32405887644537e-17,1.05637261784244e-17,"PLA2G2D/IL23R/PTPN22/FCRL3/PTPRC/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/LST1/CARD11/CCL19/TNFSF8/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/CORO1A/TNFRSF13B/IKZF3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/LILRB1/RAC2/FOXP3/BTK/SASH3/CD40LG",35
"BP","GO:0046631","alpha-beta T cell activation","29/449","138/18670",2.23946417784922e-19,2.94729481977656e-17,2.35143738674168e-17,"PLA2G2D/RUNX3/IL23R/SLAMF6/PTPRC/ZAP70/CD28/EOMES/CCR2/CD86/TCF7/ITK/DOCK2/IRF4/MYB/CCL19/TNFSF8/FUT7/CD3E/NCKAP1L/GPR18/BATF/BCL11B/RASAL3/JAK3/IL12RB1/LILRB1/FOXP3/SASH3",29
"BP","GO:0002449","lymphocyte mediated immunity","43/449","352/18670",1.43508022164279e-18,1.82354159198403e-16,1.45487443159648e-16,"IL23R/SLAMF6/PTPRC/CR2/CR1/CD28/INPP5D/CCR2/CD96/IL7R/GAPT/LTA/TNF/NCR3/CCR6/MYO1G/CRTAM/CD27/LAG3/PTPN6/AICDA/KLRC4-KLRK1/BATF/RASGRP1/CD19/CORO1A/C17orf99/CD70/VAV1/FCER2/IL12RB1/POU2F2/LILRB1/NCR1/SLA2/AIRE/IGLL5/WAS/FOXP3/BTK/SH2D1A/SASH3/CD40LG",43
"BP","GO:0045058","T cell selection","18/449","47/18670",1.24311390716426e-17,1.52695824930009e-15,1.21825162902097e-15,"IL23R/SLAMF6/PTPRC/ZAP70/CD28/DOCK2/IRF4/THEMIS/CARD11/CD3E/CD3D/CD3G/BATF/BCL11B/CCR7/IL12RB1/AIRE/FOXP3",18
"BP","GO:0045580","regulation of T cell differentiation","27/449","139/18670",3.36755079527534e-17,4.00304021954505e-15,3.19374172197081e-15,"RUNX3/IL23R/CD2/PTPRC/CR1/ZAP70/CD28/CTLA4/FANCD2/CCR2/CD86/IL7R/CAMK4/IRF4/HLA-DOA/MYB/CARD11/CCL19/CD27/LAG3/NCKAP1L/TESPA1/RASGRP1/JAK3/IL12RB1/FOXP3/SASH3",27
"BP","GO:0042129","regulation of T cell proliferation","28/449","156/18670",7.6214965306653e-17,8.77662959859426e-15,7.00224993754875e-15,"PLA2G2D/IL23R/PTPRC/ZAP70/CD28/CTLA4/CCR2/CD86/CARD11/CCL19/TNFSF8/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/CORO1A/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/LILRB1/RAC2/FOXP3/SASH3/CD40LG",28
"BP","GO:0042098","T cell proliferation","30/449","184/18670",9.40323561705309e-17,1.05002797723759e-14,8.37742809519275e-15,"PLA2G2D/IL23R/PTPRC/ZAP70/CD28/CTLA4/CCR2/CD86/DOCK2/CARD11/DOCK8/CCL19/TNFSF8/CD6/CCDC88B/CD3E/PTPN6/CLECL1/NCKAP1L/CORO1A/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/LILRB1/RAC2/FOXP3/SASH3/CD40LG",30
"BP","GO:0002706","regulation of lymphocyte mediated immunity","27/449","149/18670",2.13785358712281e-16,2.31705602016105e-14,1.84861457239443e-14,"IL23R/SLAMF6/PTPRC/CR1/CD28/CCR2/CD96/IL7R/LTA/TNF/NCR3/CRTAM/LAG3/PTPN6/KLRC4-KLRK1/RASGRP1/C17orf99/VAV1/FCER2/IL12RB1/LILRB1/NCR1/WAS/FOXP3/BTK/SH2D1A/SASH3",27
"BP","GO:0050900","leukocyte migration","48/449","499/18670",2.35261431655356e-16,2.47696678757139e-14,1.97619602590499e-14,"PIK3CD/CNR2/LCK/MCOLN2/CD2/CD84/CD48/SELL/FCAMR/ZAP70/CXCR4/ITGA4/INPP5D/CCR2/CCR5/STAP1/CXCL13/ADTRP/RIPOR2/TNF/GPSM3/CCR6/MYO1G/PTK2B/DOCK8/CCL19/FUT7/CALCA/JAML/CXCR5/PTPN6/KLRC4-KLRK1/ITGB7/NCKAP1L/SELPLG/TNFSF11/GPR18/CORO1A/ITGAL/ITGAX/CCL22/CCR7/VAV1/SIRPG/AIRE/VPREB3/RAC2/CXCR3",48
"BP","GO:0002703","regulation of leukocyte mediated immunity","31/449","205/18670",2.58294775922938e-16,2.64393402576674e-14,2.10940733670399e-14,"IL23R/SLAMF6/CD84/PTPRC/CR1/CD28/CCR2/CD96/STAP1/IL7R/LTA/TNF/NCR3/CRTAM/LAG3/PTPN6/KLRC4-KLRK1/RASGRP1/C17orf99/VAV1/FCER2/JAK3/IL12RB1/LILRB1/NCR1/RAC2/WAS/FOXP3/BTK/SH2D1A/SASH3",31
"BP","GO:0031295","T cell costimulation","18/449","56/18670",4.73428021023261e-16,4.71508718235329e-14,3.76183346434699e-14,"LCK/CD28/CTLA4/ICOS/PDCD1/BTLA/CD86/CARD11/CCL19/CD5/CD3E/PTPN6/KLRC4-KLRK1/CCR7/TMIGD2/VAV1/GRAP2/CD40LG",18
"BP","GO:0042102","positive regulation of T cell proliferation","22/449","95/18670",5.93294244585119e-16,5.75339287183201e-14,4.59022389231645e-14,"IL23R/PTPRC/ZAP70/CD28/CCR2/CD86/CARD11/CCL19/CD6/CCDC88B/CD3E/CLECL1/NCKAP1L/CORO1A/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/FOXP3/SASH3/CD40LG",22
"BP","GO:0031294","lymphocyte costimulation","18/449","57/18670",6.76793998436936e-16,6.39483560061567e-14,5.10198552667845e-14,"LCK/CD28/CTLA4/ICOS/PDCD1/BTLA/CD86/CARD11/CCL19/CD5/CD3E/PTPN6/KLRC4-KLRK1/CCR7/TMIGD2/VAV1/GRAP2/CD40LG",18
"BP","GO:0002683","negative regulation of immune system process","44/449","435/18670",7.2012965943246e-16,6.63419448752154e-14,5.29295299682858e-14,"PLA2G2D/CNR2/RUNX3/PTPN22/TNFAIP8L2/FCRL3/CD84/PTPRC/LAX1/CR1/MIXL1/CTLA4/GPR55/INPP5D/PDCD1/CCR2/CD96/TIGIT/CD86/GPR171/STAP1/IL7R/CARTPT/ADTRP/RIPOR2/TNF/LST1/HLA-DOB/HLA-DOA/PTK2B/TSPAN32/LAG3/PTPN6/KLRC4-KLRK1/GPR18/NLRC3/NLRC5/TNFRSF13B/JAK3/LILRB1/SLA2/UBASH3A/FOXP3/BTK",44
"BP","GO:1903706","regulation of hemopoiesis","46/449","475/18670",8.00299470087966e-16,7.19293548115648e-14,5.73873278550883e-14,"RUNX3/IL23R/CD2/FCRL3/PTPRC/CR1/MIXL1/ZAP70/CASP8/CD28/CTLA4/GPR55/INPP5D/FANCD2/CCR2/CD86/GPR171/IL7R/CARTPT/CAMK4/IRF4/TNF/HLA-DOA/MYB/CARD11/PTK2B/TOX/CCL19/CD27/LAG3/PTPN6/NCKAP1L/TESPA1/TNFSF11/POU4F1/RASGRP1/PRKCB/GP1BA/EVI2B/IKZF3/JAK3/IL12RB1/LILRB1/FOXP3/BTK/SASH3",46
"BP","GO:0050852","T cell receptor signaling pathway","30/449","202/18670",1.31426435958777e-15,1.15311051549546e-13,9.19985051711439e-14,"PIK3CD/LCK/PTPN22/CD247/PTPRC/ZAP70/CD28/CTLA4/INPP5D/TRAT1/TXK/FYB1/ITK/LCP2/BTN1A1/THEMIS/CARD11/CD3E/CD3D/CD3G/PTPN6/TESPA1/PLCG2/CCR7/KCNN4/UBASH3A/GRAP2/WAS/FOXP3/BTK",30
"BP","GO:0001819","positive regulation of cytokine production","45/449","464/18670",1.59501248883117e-15,1.36688860961462e-13,1.09054342259619e-13,"TNFRSF8/IL23R/MCOLN2/GBP5/PTPN22/CD2/PYHIN1/AIM2/SLAMF6/PTPRC/CASP8/CD28/CCR2/TIGIT/CD86/TLR6/TXK/IRF4/LTA/TNF/LTB/GPSM3/MYB/CARD11/CCL19/CD6/CCDC88B/BIRC3/CD3E/CRTAM/KLRC4-KLRK1/RASGRP1/SEMA7A/PLCG2/IRF8/CCR7/TMIGD2/IL12RB1/LILRB1/ZBP1/TLR7/CYBB/FOXP3/SASH3/CD40LG",45
"BP","GO:0046632","alpha-beta T cell differentiation","22/449","101/18670",2.36834390323266e-15,1.98348801895736e-13,1.58248433534183e-13,"PLA2G2D/RUNX3/IL23R/SLAMF6/ZAP70/EOMES/CD86/TCF7/ITK/IRF4/MYB/CCL19/TNFSF8/FUT7/NCKAP1L/GPR18/BATF/BCL11B/JAK3/IL12RB1/FOXP3/SASH3",22
"BP","GO:0002285","lymphocyte activation involved in immune response","28/449","181/18670",4.10157066050337e-15,3.35873064087887e-13,2.67969283152887e-13,"IL23R/SLAMF6/PTPRC/CD28/DOCK10/EOMES/CD86/GAPT/CD180/IRF4/MYB/CCR6/PTK2B/CCL19/APBB1IP/AICDA/LCP1/BATF/CD19/CORO1A/ITGAL/PLCG2/C17orf99/JAK3/IL12RB1/LILRB1/FOXP3/CD40LG",28
"BP","GO:0043368","positive T cell selection","14/449","34/18670",1.58943185782458e-14,1.27327312958339e-12,1.01585427434875e-12,"IL23R/SLAMF6/PTPRC/ZAP70/DOCK2/IRF4/THEMIS/CD3E/CD3D/CD3G/BATF/BCL11B/IL12RB1/FOXP3",14
